id,question,answer,distractor,img
1,What type of animal is a seahorse,Fish,"[""Crustacean"", "" Arachnid"",""Fish"", ""Shell""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_500/MTc0NTk0MTg3NTM3Mjk1MzA1/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
2,Which of the following dog breeds is the smallest,Chihuahua,"[""Dachshund"", "" Poodle"",""Pomeranian"", ""Chihuahua""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_375/MTc0NTk0MTg3NTM3ODE5NTkz/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
3,What color are zebras,Black with white stripes,"[""White with black stripes"", "" Black with white stripes"",""Both of the above"", ""None of the above""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_960/MTc0NTk0MTg3NTM3NzU0MDU3/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
4,What existing bird has the largest wingspan,Albatross,"[""Stork"", "" Swan"",""Condor"", ""Albatross""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_500/MTc0NTk0MTg3NTM3Njg4NTIx/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
5,What is the biggest animal that has ever lived,Blue whale,"[""Blue whale"", ""African elephant"",""Apatosaurus"", ""Spinosaurus""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_960/MTc0NTk0MTg3NTM3MTY0MjMz/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
6,"Out of these pets, there are the most pet _____ in the U.S.",Cats,"[""Birds"", ""Cats"",""Dogs"", ""Horses""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_960/MTc0NTk0MTg3NTM3MjI5NzY5/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
7,Which of these animals lives the longest,Ocean quahog,"[""Ocean quahog"",""Red sea urchin"",""Galapagos tortoise"", ""Rougheye rockfish""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_500/MTc0NTk0MTg3NTM3NDI2Mzc3/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
8, What are female elephants called,Cows,"[""Mares"",""Sows"",""Cows"", ""Dams""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_500/MTc0NTk0MTg3NTM3MzYwODQx/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
9,Which of the following animals sleeps standing up,Flamingos,"[""Gorillas"",""Flamingos"",""Hedgehogs"", ""Ravens""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_960/MTc0NTk0MTg3NTM3NDkxOTEz/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
10,What is the fastest water animal,Sailfish,"[""Porpoise"",""Sailfish"",""Flying fish"", ""Tuna""]",https://images.saymedia-content.com/.image/ar_3:2%2Cc_limit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_604/MTc0NTk0MTg3NTM3NTU3NDQ5/multiple-choice-quiz-how-well-do-you-know-animals-suitable-for-kids.jpg
